Charity Number,Charity Name,Registered Date,Known As,Charity Status,Notes,Postcode,Constitutional Form,Previous Constitutional Form 1,Geographical Spread,Main Operating Location,Purposes,Beneficiaries,Activities,Objectives,Principal Office/Trustees Address,Website,Most recent year income,Most recent year expenditure,Mailing cycle,Year End,Donations and legacies income,Charitable activities income,Other trading activities income,Investments income,Other income,Raising funds spending,Charitable activities spending,Other spending,Parent charity name,Parent charity number,Parent charity country of registration,Designated religious body,Regulatory Type,_invalid_reason
SC011580,Skirling Village Hall,25/11/1975 00:00,,Active,,ML12 6HD,Other,,"A specific local point, community or neighbourhood",Scottish Borders,'The advancement of citizenship or community development',"'Children / young people','Older people','No specific group, or for the benefit of the community'",'It carries out activities or services itself',"This Association, the object of which is to afford to residents in the neighbourhood facilities for social intercourse, instruction and recreation, shall be called 'The Skirling Reading Room and Recreation Club'.","Bank Cottage, Skirling, Nr Biggar, Scottish Borders",The Glisk,41519,35014,2020,30/09/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC011629,Dumfries-Shire Guides Association,25/09/1956 00:00,,Active,,DG14 0TF,Unincorporated association,,"A specific local point, community or neighbourhood",Dumfries & Galloway,"'The advancement of education','The advancement of citizenship or community development'",'Children / young people','It carries out activities or services itself',The advancement of education; The advancement of civic responsibility or community development.,"WOODSLEE STABLE COTTAGE, CANONBIE, Dumfriesshire",,33488,29520,2020,31/12/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC011636,Clydebank Women's Aid,28/06/1983 00:00,,Active,,G81 1QW,Unincorporated association,,"Wider, but within one local authority area",West Dunbartonshire,"'The advancement of health','The advancement of human rights, conflict resolution or reconciliation','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Children / young people','Older people','Other defined groups'",'It carries out activities or services itself',"The object of the Association shall be:- (a) To provide temporary refuge for women who have suffered mental and physical harassment, and their children, on request. (b) To encourage these women to determine their own future and to help them achieve it, whether it involves returning home or starting a new life elsewhere. (c) To recognise and care for the emotional and educational needs of the children involved.  (d) To offer support, advice and help to any woman who asks for it, whether or not she is a resident, and also to offer support and after-care to any women and children who have left the refuge; both in the refuge and in the community through the Advice Clinic. (e) To encourage research into the causes of any ways of preventing or relieving the suffering caused by such harassment and to keep such statistics and basic records as will facilitate research to the long term benefit of all battered women. (f) To educate and inform the public, the media, the police, the courts, the social services and other authorities, with respect to the battering of women and enlist the support of professional workers to help such women with all aspects of their problem. (g) To identify, research and campaign around the housing needs of battered/ homeless women and their dependents.","77 Whitecrook Street, Clydebank",,264672,309091,2020,31/03/2020,171470,92936,266,0,0,0,309091,0,,,,No,Standard,Invalid or no website
SC011652,Boys' and Girls' Clubs of Scotland,02/11/1983 00:00,,Active,,KA7 1EZ,Company (the charity is registered with Companies House),,UK and overseas,City of Edinburgh,"'The advancement of citizenship or community development','The advancement of the arts, heritage, culture or science','The advancement of public participation in sport'",'Children / young people','It carries out activities or services itself',"The association is established for the public benefit for the following object:- (i) to promote the mental, physical, social and spiritual welfare of boys and young men and girls and young women in Scotland;","20 Wellington Square, Ayr",15 Portree Avenue,32004,57440,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC011678,Libertus Services,12/12/1980 00:00,,Active,,EH16 6RN,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",City of Edinburgh,"'The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'",'People with disabilities or health problems','It carries out activities or services itself',"To advance education and provide relief of older people, frail older people, people with disabilities and/or learning disabilities and people with dementia in the Edinburgh and Lothian area (the 'beneficiaries') through the development and provision of services and of social, educational and recreational opportunities for the said beneficiaries","20 Gracemount Drive, Edinburgh",,658666,610451,2020,31/03/2020,3886,638619,13308,2853,0,0,610451,0,,,,No,Standard,Invalid or no website
SC011766,Clydesdale Horse Society,15/08/1934 00:00,,Active,,PH7 4LS,Company (the charity is registered with Companies House),,UK and overseas,Angus,"'The advancement of education','The advancement of the arts, heritage, culture or science','The advancement of environmental protection or improvement','The advancement of animal welfare'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"The Society is established for the following charitable purposes as defined under Section 7(2) of the Charities and Trustee Investment (Scotland) Act 2005: 7(2)(b) The advancement of education 7(2)(g) The advancement of the arts, heritage, culture or science 7(2)(m) The advancement of environmental protection or improvement 7(2)(0) The advancement of animal welfare Activities (a) Promoting knowledge and understanding of the breed by attending shows and events and by the distribution of publicity materials both to the general public and to the equine industry. (b) Promoting the integrity of the breed and its place in the heritage of rural Britain by setting standards for breeding. The production of an annual Stud Book recording pedigrees and enabling the purity of the breed to be maintained. (c) Furthering in every way the prosperity of the breed so that it continues to be an important part of the diversity of the rural environment. (d) Promoting high standards of stockmanship and animal welfare by encouraging classes at agricultural shows and by providing prizes to encourage the widest participation in the drive to improve standards.'","7 Turretbank Place, Crieff, Perthshire",7 Turretbank Place,70791,66025,2020,31/12/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC011789,Jewish Blind Society (Scotland),06/06/1969 00:00,,Active,,G41 1HJ,Unincorporated association,,More than one local authority area in Scotland,East Renfrewshire,"'The prevention or relief of poverty','The advancement of health','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage','Any other purpose that may reasonably be regarded as analogous to any of the preceding purposes'","'Children / young people','Older people','People with disabilities or health problems','People of a particular ethnic or racial origin','No specific group, or for the benefit of the community'","'It makes grants, donations, loans, gifts or pensions to individuals','It makes grants, donations or gifts to organisations','It carries out activities or services itself'","The objects of J.B.S.(Scotland) shall be to afford assistance to people in the Jewish Community who are Registered Blind or partially sighted, or suffer from a physical disability and are non-ambulant. They may be in receipt of Mobility or Attendance Allowance, Income Support or any other such Benefit.","Martin Aitken & Co, Chartered Accountants, Caledonia House, Glasgow",,77983,161502,2020,31/12/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC011793,Carruthers Almshouses / Mrs Mary Carruthers Trust,18/09/1916 00:00,Mary Carruthers Trust,Active,,DG1 2NT,Trust (founding document is a deed of trust) (other than educational endowment),,"A specific local point, community or neighbourhood",Dumfries & Galloway,"'The prevention or relief of poverty','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'",'Older people','It carries out activities or services itself',"The prevention and relief of poverty; The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage.","135 Irish Street, Dumfries",,104561,110053,2019,31/12/2019,,,,,,,,,,,,No,Standard,Invalid or no website
SC011862,Abbeyfield Irvine & District Society Limited,24/07/1974 00:00,,Active,,KA12 8RR,Registered Society,,"A specific local point, community or neighbourhood",North Ayrshire,"'The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Older people','No specific group, or for the benefit of the community'",'It carries out activities or services itself',"The Society is established to relieve aged, impotent and poor people of all classes, for the advancement and education and for other charitable purposes beneficial to the community. And as ancillary to the foregoing objects:- (A) To establish, manage, improve and construct in Irvine and District and elsewhere houses, homes, hostels, clubs and holiday camps for lonely, neglected, old or handicapped people and provide them there and in their homes with the care security and Christian love to which they are entitled. (B) To encourage and enable individuals and the community at large to realise, live up to and bear their Christian and citizens responsibilities to those who are lonely, neglected, old or handicapped. (C) To promote and further education by providing in Irvine and District and elsewhere facilities for the practise and encouragement of the arts, physical training, training in citizenship for juveniles and young persons of all classes to encourage them to take an interest therein and in social, national and international questions, and to lead them to a fuller understanding of the Christian religion.","1 Kilwinning Road, Irvine",,986331,1062424,2020,30/09/2020,3341,981626,0,1364,0,0,1029067,33357,,,,No,Standard,Invalid or no website
SC012016,Strathnaver Museum,29/02/1980 00:00,,Active,,KW14 7SS,Company (the charity is registered with Companies House),,"A specific local point, community or neighbourhood",Highland,"'The advancement of education','The advancement of citizenship or community development','The advancement of the arts, heritage, culture or science'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"The company's objects are:- (a) for the advancement of the education of the general public, without distinction of sex or of political, religious or other opinions, by provision of the Museum comprising the Existing Collection together with such other objects, specimens or collections as may from time to time be required in accordance with the provisions of this Deed('the Collection') in respect of which -there will be a strong presumption i : against the subsequent disposal of any specimen;  (b) to provide for the protection of the specimens comprised in the Collection from deterioration, damage, loss, accidental destruction or unauthorised disposal.","Clachan, Bettyhill, By Thurso, Caithness",Clachan,96396,75198,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC012065,Vamw Training Ltd,07/09/1989 00:00,,Active,,ML1 1TT,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",North Lanarkshire,"'The advancement of education','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'People with disabilities or health problems','Other defined groups'",'It carries out activities or services itself',Continuing efforts are made to spread information and increase understanding about mental heralth throughout the area; To assist in the provision of recreation or part-time activities for mentally handicapped persons and in the teaching of suitable handicrafts and other employment.,"John Thomson House, Glencairn Street, Motherwell, Lanarkshire",,76238,81607,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC012104,Orkney Blide Trust (K/A The Blide Trust & O.B.T),08/04/1992 00:00,Orkney Blide Trust,Active,,KW15 1DN,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",Orkney Islands,"'The advancement of education','The advancement of health','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Older people','People with disabilities or health problems','Other defined groups'",'It carries out activities or services itself',To promote the welfare of people throughout Orkney with mental health problems and their carers and advance the education of the public about mental health problems.,"Laura Grimond House, 54 Victoria Street, Kirkwall",,378573,421586,2020,31/03/2020,295916,5980,76454,223,0,207,419925,1454,,,,No,Standard,Invalid or no website
SC012160,Edzell Village Improvement Society,29/04/1987 00:00,,Active,,DD9 7TA,Unincorporated association,,"A specific local point, community or neighbourhood",Angus,'The advancement of citizenship or community development',"'No specific group, or for the benefit of the community'","'It makes grants, donations or gifts to organisations','It carries out activities or services itself'","The Objects of the Society   Shall be to promote the benefit of the residents of Edzell and Neighbourhood (hereinafter called 'the area of benefit'” without distinction of sex, or politics, or race or creed, or opinions, be associating with the Local Authorities. Voluntary organisations and inhabitants in a common effort to advance and provide facilities in the interests of social welfare and recreation and leisure time occupation with the object of improving the condition of life for the said residents, and such other objects as may be deemed to be charitable.","Edzell Health Centre, High Street, Edzell",,58314,58691,2019,31/12/2019,,,,,,,,,,,,No,Standard,Invalid or no website
SC012293,Kilmaurs Community Association,07/11/1977 00:00,,Active,"This SCIO was incorporated on 02 March 2017 as a result of a Change to SCIO application by SC012293 Kilmaurs Community Association, which was an unincorporated association registered as a charity since 07 November 1977.",KA3 2QD,SCIO (Scottish Charitable Incorporated Organisation),Unincorporated association,"A specific local point, community or neighbourhood",East Ayrshire,"'The advancement of education','The advancement of citizenship or community development','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended'","'Children / young people','Older people','No specific group, or for the benefit of the community'",'It carries out activities or services itself',The purpose of the Association shall be to promote the benefit of the inhabitants of the neighbourhood without distinction of gender; political; religious or other opinions in a common effort to:  advance education.  provide opportunities for leisure and recreational pursuits.  the advancement of citizenship or community development.  ,"63 Habbieauld Road, Kilmaurs, Ayrshire",,56156,60815,2020,31/01/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC012342,Lieurary Hall Committee,08/09/1979 00:00,,Not Submitted,,KW14 7QW,Trust (founding document is a deed of trust) (other than educational endowment),,"A specific local point, community or neighbourhood",Highland,'The advancement of education',"'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"The said subjects and the building erected or to be erected thereon (hereinafter referred to as 'the Trust subjects') are dedicated and shall be held by us and out successors as Trustees in all time coming for the purposes of physical and mental education and recreation, and social, moral and intellectual development through the medium of reading and recreation rooms, library, lectures, classes, recreation or otherwise as may be found expedient of the inhabitants of the said District without distinction of sex or of political, religious or other opinions subject to the provisions of these presents.","The Farmhouse, Oust Farm, Westfield, Thurso, Caithness",,83638,90722,2019,08/02/2019,,,,,,,,,,,,No,Standard,Invalid or no website
SC012359,St Josephs College School Fund,29/06/1989 00:00,,Not Submitted,,DG1 4UU,Unincorporated association,,"A specific local point, community or neighbourhood",Dumfries & Galloway,'The advancement of education','Children / young people','It carries out activities or services itself',For educational purposes for the benefit of the pupils of St Josephs College.,"St Joseph's College, Craigs Road, Dumfries",,175820,200598,2018,31/07/2018,,,,,,,,,,,,No,Standard,Invalid or no website
SC012393,Blantyre Volunteer Ltd,05/09/1984 00:00,,Active,,G72 0AU,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",South Lanarkshire,'Any other purpose that may reasonably be regarded as analogous to any of the preceding purposes',"'Children / young people','Older people','People with disabilities or health problems','People of a particular ethnic or racial origin','Other defined groups'",'It carries out activities or services itself',"The company's objects are: 1. To relieve the poverty of individuals and families on low income or experiencing financial difficulties. 2. To promote the benefit and welfare of people who are older, have a physical or learning disability, those who are progressively or chronically ill or are experiencing mental health problems and their families/carers.","1 Calder Street, Blantyre",,52568,56707,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC012442,Little Pets Playgroup,01/01/1992 00:00,,Active,,G73 3DQ,Other,,"Wider, but within one local authority area",South Lanarkshire,"'The advancement of education','The advancement of citizenship or community development'",'Children / young people','It carries out activities or services itself',The advancement of education. The advancement of civic responsibility or community development.,"31 Richmond Drive, Rutherglen, Glasgow",,69747,53460,2020,31/07/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC012462,Auld Kirk Nursery,25/08/1980 00:00,,Active,,AB43 9HH,Unincorporated association,,"Wider, but within one local authority area",Aberdeenshire,"'The advancement of education','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended','The promotion of religious or racial harmony','The promotion of equality and diversity','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage','Any other purpose that may reasonably be regarded as analogous to any of the preceding purposes'","'Children / young people','People with disabilities or health problems','No specific group, or for the benefit of the community','Other charities / voluntary bodies'",'It carries out activities or services itself',"The aim of the nursery is to promote the aim of the SPPA which is to advance the education of ante-pre-school and pre-school children so that they may take a constructive place in the community, and also the education of their parents/carers and other adults, children and teenagers","Barrasgate Road, Fraserburgh, Aberdeenshire, Scotland",,77243,54297,2020,31/07/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC012490,Glasgow School Of Art,30/11/1896 00:00,,Active,,G3 6RQ,Company (the charity is registered with Companies House),,UK and overseas,Glasgow City,"'The advancement of education','The advancement of the arts, heritage, culture or science'",'Other defined groups','It carries out activities or services itself',"The objects for which the School is established is the advancement of education, and in pursuance thereof the School is established to continue and take over the assets and liabilities of the Art School which has existed in Glasgow since 1842, latterly under the name of 'THE GLASGOW SCHOOL OF ART AND HALDANE ACADEMY', and to advance, for the public benefit, the education of the public in the sphere of art including, without prejudice to the foregoing generality, art, fine art, design, and architecture and, in furtherance thereof, to provide for the giving of lectures, conducting of seminars, holding of conferences, to undertake research, and the promotion and support of exhibitions and to provide educational facilities and instruction and information on all matters connected with the sphere of art and of the objects of the School. The objects for which the School is established are wholly and exclusively charitable purposes. ","167 Renfrew Street, Glasgow",www.gsa.ac.uk,54717000,47945000,2020,31/07/2020,0,18370000,0,478000,35869000,0,40145000,7800000,,,,No,Standard,Invalid or no website
SC012513,The Argyll Piping Trust,01/01/1992 00:00,,Active,,SP8 5AH,Trust (founding document is a deed of trust) (other than educational endowment),,"Wider, but within one local authority area",Argyll & Bute,"'The advancement of the arts, heritage, culture or science'",'Children / young people',"'It makes grants, donations, loans, gifts or pensions to individuals','It carries out activities or services itself'",The education of the public in the art of the Highland Bagpipe and of Scottish Dancing and Folk Music,"7 Fantley Lane, Silton, Gillingham, Dorset",Dunaverty,75066,65920,2019,31/12/2019,,,,,,,,,,,,No,Standard,Invalid or no website
SC012533,Beaton Public Hall Trustees,14/07/1933 00:00,,Active,,AB41 7LD,Trust (founding document is a deed of trust) (other than educational endowment),,"A specific local point, community or neighbourhood",Aberdeenshire,"'The advancement of education','The advancement of health','The advancement of citizenship or community development','The advancement of the arts, heritage, culture or science','The advancement of public participation in sport'","'Children / young people','Older people','No specific group, or for the benefit of the community','Other charities / voluntary bodies'",'It carries out activities or services itself',For the purpose of erecting a public hall in a suitable site for the benefit of the Parish of Methlick.,"Estate Office, Mains Of Haddo, Tarves, Ellon, Aberdeenshire",,33582,15466,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC012561,Muirfield Playgroup,03/04/1984 00:00,,Active,,DD11 2LU,Other,,"Wider, but within one local authority area",Angus,"'The advancement of education','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Children / young people','No specific group, or for the benefit of the community'",'It carries out activities or services itself',"The aim of the playgroup is to promote the aim of the Scottish Pre-School Playgroups association, which is to advance the education of pre-school children so that they may take a constructive place in the community and also the education of their parents, and in furtherance of that aim, (a) to provide safe and satisfying group play in which parents take part when appropriate; (b) to encourage other charitable activities through which parents may help the children","Muirfield Primary School, School Road, Arbroath",Muirfield Primary School,79668,70888,2020,31/07/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC012708,Mrs Murray Home For Stray Dogs & Cats,13/06/1917 00:00,,Active,,AB10 1HA,Company (the charity is registered with Companies House),,More than one local authority area in Scotland,Aberdeen,'The advancement of animal welfare',"'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"To provide a temporary home for dogs, cats and other animals; to restore to their owners, animals which have been lost and brought to the Company, and failing this, to find, if possible, new and suitable homes for them; to destroy, in a painless manner all stray animals brought to the Home which are in a diseased or maimed condition, or which may remain unclaimed, and for which new homes cannot be found; and in support of the foregoing objects, to provide boarding accommodation for dogs, cats and other animals.","C/O Ledingham Chalmers, Johnstone House, 52-54 Rose Street, Aberdeen",,459394,535854,2020,28/02/2020,131186,191447,0,136761,0,32403,503451,0,,,,No,Standard,Invalid or no website
SC012709,Athelstaneford Parish Hall,29/09/1978 00:00,,Active,,EH39 5BE,Trust (founding document is a deed of trust) (other than educational endowment),,"A specific local point, community or neighbourhood",East Lothian,'The advancement of citizenship or community development',"'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"For the purposes of a village hall for the use of the inhabitants of Athelstaneford and environs without distinction of political, religious or other opinions, including use for meetings, lectures and classes, with the object of improving the conditions of life for the said inhabitants","c/o 4 Needless, Athelstaneford, North Berwick, East Lothian",,151390,147602,2019,31/12/2019,,,,,,,,,,,,No,Standard,Invalid or no website
SC012776,Scottish Music Information Centre Ltd,05/07/1985 00:00,,Active,,G1 1NQ,Company (the charity is registered with Companies House),,UK and overseas,Glasgow City,"'The advancement of the arts, heritage, culture or science'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"to promote, maintain, improve and advance education in the Arts and in particular but without prejudice to the generality of the foregoing music by Scottish and Scottish based composers of all periods","City Halls, Candleriggs, Glasgow, Scottish Music Centre",Scottish Music Centre,372427,468822,2020,31/03/2020,346856,25382,0,0,189,0,468822,0,,,,No,Standard,Invalid or no website
SC012798,Mrs Mary E Mclaurin's Trust,12/05/1981 00:00,,Not Submitted,,KA7 1EN,Trust (founding document is a deed of trust) (other than educational endowment),,"Wider, but within one local authority area",South Ayrshire,"'The advancement of the arts, heritage, culture or science'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',To provide an art gallery and/or museum to be called The MacLaurin Art Gallery.,"4 Wellington Square, Ayr",,31033,54747,2019,05/04/2019,,,,,,,,,,,,No,Standard,Invalid or no website
SC012849,Hemat Gryffe Women's Aid,05/01/1982 00:00,,Active,,G3 6LZ,Company (the charity is registered with Companies House),Unincorporated association,Scotland and other parts of the UK,Glasgow City,"'The prevention or relief of poverty','The advancement of education','The advancement of health','The advancement of citizenship or community development','The advancement of human rights, conflict resolution or reconciliation','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'",'Other defined groups','It carries out activities or services itself',"5.1 The Objects are specifically restricted to the following:- 5.1.1 the prevention or relief of poverty; 5.1.2 the advancement of education; 5.1.3 the advancement of health; 5.1.4 the advancement of citizenship or community development; 5.1.5 the advancement of human rights, conflict resolution or reconciliation; and 5.1.6 the relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage","Flat 0/1, 24 Willowbank Street, Glasgow",,554327,492263,2020,31/03/2020,414265,140062,0,0,0,0,492263,0,,,,No,Standard,Invalid or no website
SC012866,Moray Women's Aid,20/06/1988 00:00,,Active,,IV30 4GB,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",Moray,"'The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Children / young people','Other defined groups'",'It carries out activities or services itself',"To relieve and support women in need by reason of their having been abused (mentally, physically, sexually or financially) by a person with whom the woman is or has been in a relationship and to support children and young people who have been affected by domestic abuse; to prevent or relieve poverty; and to advance health; all within the Moray area; To promote equality for, and the participation of, women in society to enable them to determine their own futures; To advance education and to advance human rights; To promote, establish and/or support other similar projects and programmes which firrther charitable purposes.","57a Marleon Field, Silvercrest, Elgin",,397755,472677,2020,31/03/2020,13173,381072,3510,0,0,2078,470599,0,Scottish Womens Aid,,Scotland,No,Standard,Invalid or no website
SC012867,Cancer Support Scotland (Tak Tent),19/12/1984 00:00,Cancer Support Scotland Tak Tent,Active,,G12 0ZE,Company (the charity is registered with Companies House),,More than one local authority area in Scotland,Glasgow City,"'The advancement of citizenship or community development','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Children / young people','People with disabilities or health problems'",'It carries out activities or services itself',"To provide emotional and practical support - on a one-to-one basis and through community based groups - to anyone affected by cancer including family, friends and carers and the promotion, encouragement, improvement and extension of voluntary and charitable services by the company.","75 Shelley Road, Gartnavel Campus, Glasgow",Calman Centre,614785,701229,2020,30/04/2020,614718,0,0,67,0,260335,413974,26920,,,,No,Standard,Invalid or no website
SC012900,Bridge of Earn Nursery,03/09/1974 00:00,,Active,,PH2 9EA,Unincorporated association,,"A specific local point, community or neighbourhood",Perth & Kinross,"'The advancement of education','The advancement of citizenship or community development'",'Children / young people',"'It makes grants, donations or gifts to organisations','It carries out activities or services itself'","The aim of the group is to advance the education and social development of pre-school children with the emphasis on the play experience, so that they take a constructive place in the community and also to advance the education of their parents and other appropriate persons","The institute, Station Road, Perth, Bridge Of Earn, Perth",,39172,33941,2020,30/06/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC012940,Friockheim & Kinnell Church Playgroup,31/07/1985 00:00,,Active,,DD11 4XB,Unincorporated association,,"Wider, but within one local authority area",Angus,'The advancement of education','Children / young people','It carries out activities or services itself',"The aim of the playgroup is to promote the aim of the Scottish Pre-School Playgroups association, which is to advance the education of pre-school children so that they may take a constructive place in the community and also the education of their parents, and in furtherance of that aim, (a) to provide safe and satisfying group play in which parents take part when appropriate; (b) to encourage other charitable activities through which parents may help the children","Community Wing, Friockheim Primary School, Farnell Road, Friockheim, Angus",,41666,51487,2020,31/05/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC012943,East Calder Community Resources Association,19/01/1988 00:00,,Active,,EH53 0EP,Company (the charity is registered with Companies House),,"A specific local point, community or neighbourhood",West Lothian,"'The advancement of education','The advancement of health','The advancement of citizenship or community development','The advancement of the arts, heritage, culture or science','The advancement of public participation in sport','The advancement of environmental protection or improvement','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Children / young people','Older people','No specific group, or for the benefit of the community','Other charities / voluntary bodies'","'It makes grants, donations or gifts to organisations','It carries out activities or services itself'","to advance education and to provide, or assist in the   provision of, facilities for recreation or other leisure time   occupation, where such provision or assistance in   provision -   is in the interests of Social Welfare; and   is made with the object of improving the conditions   of life of the members of the community in the area   of benefit;   and for those purposes to associate with the Lothian   Regional Council (hereinafter referred to as 'the  Council'), voluntary organisations and inhabitants in the area of benefit.","East Calder Partnership Centre, 139 Main Street, East Calder, Livingston, West Lothian",,44911,13529,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC012947,Biggar Farmers Club,21/10/1966 00:00,,Active,,ML11 8SS,Unincorporated association,,"A specific local point, community or neighbourhood",South Lanarkshire,"'The advancement of health','Any other purpose that may reasonably be regarded as analogous to any of the preceding purposes'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',The discussion of agricultural questions and also to raise a fund for the establishment of an agricultural library,"Grangeview, Pettinain, Lanark, South Lanarkshire",,54985,47442,2019,30/11/2019,,,,,,,,,,,,No,Standard,Invalid or no website
SC012956,Crossroads Caring for Carers (Cowal & Bute) SCIO,15/10/1981 00:00,,Active,"This SCIO was incorporated on 11 April 2013 as a result of a Change to SCIO application by SC012956 Crossroads Cowal & Bute, which was an unincorporated association registered as a charity since 15 October 1981.",PA23 7HG,SCIO (Scottish Charitable Incorporated Organisation),Unincorporated association,"Wider, but within one local authority area",Argyll & Bute,"'The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Children / young people','Older people','People with disabilities or health problems'",'It carries out activities or services itself',"The organisation’s purposes are to provide relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage by 4.1 Giving respite to carers 4.2 Providing a carers centre in Cowal and Bute ","61/63 Argyll Street, Dunoon, Argyll",,363361,350040,2020,31/03/2020,31712,321375,9417,617,240,4690,342037,3313,,,,No,Standard,Invalid or no website
SC013026,Bute Victoriana Limited,08/08/1985 00:00,,Active,,PA20 9AG,Company (the charity is registered with Companies House),,"A specific local point, community or neighbourhood",Argyll & Bute,"'The advancement of the arts, heritage, culture or science'","'Children / young people','Older people','People with disabilities or health problems'",'It carries out activities or services itself',"To advance heritage through the conservation of buildings of architectural merit or historical interest, to advance education and, in particular, to increase public knowledge and awareness of the architectural value of buildings of the nature referred to in paragraph (a),  to provide services and facilities of general public utility for the benefit of the community and, in particular, to maintain and manage public toilet facilities, to promote, operate, establish and/or support similar projects and programmes which further charitable purposes for the benefit of the community","The Weighbridge, Albert Place, Rothesay, Isle of Bute",,33639,35664,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC013102,West Renfrewshire Young Farmers Club,06/06/1972 00:00,,Active,,EH28 8NE,Unincorporated association,,"Wider, but within one local authority area",Renfrewshire,"'The advancement of education','The advancement of citizenship or community development'",'Children / young people',"'It makes grants, donations or gifts to organisations','It carries out activities or services itself'","The objects of the Club are: (a) To further the cultural education and training of young people: to promote their knowledge of country life; to create a fuller realisation of the duties and responsibilities of citizenship and to produce a greater interest and efficiency in agriculture in all its branches.  (b) To make rural life more attractive to the young members of the community by providing social amenities and a means of healthy recreation.  (c) To co-operate with the colleges of agriculture, education authorities and any other bodies engaged in agricultural and rural education.  (d) To take in co-operation with the Scottish Association of Young Farmers Club any other action calculated to further the aims of the Young Farmers Clubs movement","SAYFC, Young Farmers Centre, Ingliston, Edinburgh",,36596,34929,2020,28/02/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC013192,Bower Busy Bees,14/05/1978 00:00,,Active,,KW1 5ur,Unincorporated association,,"A specific local point, community or neighbourhood",Highland,'The advancement of education','Children / young people','It carries out activities or services itself',"The aim of the group is to advance the education and social development of preschool and older children with the emphasis on the play experience, so that they take a constructive place in the community and also to advance the education of their parents/ carers and other appropriate persons. In furtherance of the above aims the group shall seek: (a) to provide safe and satisfying group play and learning (b) to encourage other charitable activities through which the parents/carers may support the development of children.","Rose cottage, Gillock, Wick",,35769,28692,2020,31/07/2020,,,,,,,,,,,,No,Standard,Invalid or no website
